instancia,grupo,constructiva,operador,costo_inicial,costo_final,mejora_pct,tiempo_s,pasadas
b10200,b,vmc,relocate_first,7551.0000,7551.0000,0.0000,0.0000,0
b10200,b,vmc,relocate_best,7551.0000,7551.0000,0.0000,0.0000,0
b10200,b,vmc,swap_first,7551.0000,7336.0000,2.8473,0.0004,48
b10200,b,vmc,swap_best,7551.0000,7346.0000,2.7149,0.0006,26
b10200,b,vmc,relocate_multiple,7551.0000,7551.0000,0.0000,0.0001,0
b10200,b,vmc,swap_multiple,7551.0000,7334.0000,2.8738,0.0003,36
b10200,b,insercion,relocate_first,8373.0000,8373.0000,0.0000,0.0000,0
b10200,b,insercion,relocate_best,8373.0000,8373.0000,0.0000,0.0000,0
b10200,b,insercion,swap_first,8373.0000,8280.0000,1.1107,0.0001,11
b10200,b,insercion,swap_best,8373.0000,8268.0000,1.2540,0.0003,11
b10200,b,insercion,relocate_multiple,8373.0000,8373.0000,0.0000,0.0000,0
b10200,b,insercion,swap_multiple,8373.0000,8281.0000,1.0988,0.0002,19
b20100,b,vmc,relocate_first,3157.0000,3157.0000,0.0000,0.0000,0
b20100,b,vmc,relocate_best,3157.0000,3157.0000,0.0000,0.0000,0
b20100,b,vmc,swap_first,3157.0000,3040.0000,3.7061,0.0001,22
b20100,b,vmc,swap_best,3157.0000,3017.0000,4.4346,0.0001,11
b20100,b,vmc,relocate_multiple,3157.0000,3157.0000,0.0000,0.0001,0
b20100,b,vmc,swap_multiple,3157.0000,3045.0000,3.5477,0.0001,14
b20100,b,insercion,relocate_first,3269.0000,3269.0000,0.0000,0.0000,0
b20100,b,insercion,relocate_best,3269.0000,3269.0000,0.0000,0.0000,0
b20100,b,insercion,swap_first,3269.0000,3248.0000,0.6424,0.0000,4
b20100,b,insercion,swap_best,3269.0000,3248.0000,0.6424,0.0001,4
b20100,b,insercion,relocate_multiple,3269.0000,3269.0000,0.0000,0.0001,0
b20100,b,insercion,swap_multiple,3269.0000,3248.0000,0.6424,0.0001,4
b20200,b,vmc,relocate_first,4945.0000,4945.0000,0.0000,0.0000,0
b20200,b,vmc,relocate_best,4945.0000,4945.0000,0.0000,0.0000,0
b20200,b,vmc,swap_first,4945.0000,4802.0000,2.8918,0.0004,36
b20200,b,vmc,swap_best,4945.0000,4798.0000,2.9727,0.0007,25
b20200,b,vmc,relocate_multiple,4945.0000,4945.0000,0.0000,0.0001,0
b20200,b,vmc,swap_multiple,4945.0000,4824.0000,2.4469,0.0005,28
b20200,b,insercion,relocate_first,5980.0000,5980.0000,0.0000,0.0000,0
b20200,b,insercion,relocate_best,5980.0000,5980.0000,0.0000,0.0000,0
b20200,b,insercion,swap_first,5980.0000,5926.0000,0.9030,0.0001,8
b20200,b,insercion,swap_best,5980.0000,5913.0000,1.1204,0.0002,7
b20200,b,insercion,relocate_multiple,5980.0000,5980.0000,0.0000,0.0001,0
b20200,b,insercion,swap_multiple,5980.0000,5918.0000,1.0368,0.0002,9
e05100,e,vmc,relocate_first,23799.0000,23799.0000,0.0000,0.0000,0
e05100,e,vmc,relocate_best,23799.0000,23799.0000,0.0000,0.0000,0
e05100,e,vmc,swap_first,23799.0000,22689.0000,4.6641,0.0000,5
e05100,e,vmc,swap_best,23799.0000,22689.0000,4.6641,0.0001,4
e05100,e,vmc,relocate_multiple,23799.0000,23799.0000,0.0000,0.0000,0
e05100,e,vmc,swap_multiple,23799.0000,22689.0000,4.6641,0.0001,4
e05100,e,insercion,relocate_first,40612.0000,40612.0000,0.0000,0.0000,0
e05100,e,insercion,relocate_best,40612.0000,40612.0000,0.0000,0.0000,0
e05100,e,insercion,swap_first,40612.0000,40535.0000,0.1896,0.0000,2
e05100,e,insercion,swap_best,40612.0000,40535.0000,0.1896,0.0000,2
e05100,e,insercion,relocate_multiple,40612.0000,40612.0000,0.0000,0.0000,0
e05100,e,insercion,swap_multiple,40612.0000,40535.0000,0.1896,0.0000,2
e05200,e,vmc,relocate_first,57228.0000,57228.0000,0.0000,0.0000,0
e05200,e,vmc,relocate_best,57228.0000,57228.0000,0.0000,0.0000,0
e05200,e,vmc,swap_first,57228.0000,54522.0000,4.7285,0.0005,44
e05200,e,vmc,swap_best,57228.0000,54997.0000,3.8984,0.0005,15
e05200,e,vmc,relocate_multiple,57228.0000,57228.0000,0.0000,0.0000,0
e05200,e,vmc,swap_multiple,57228.0000,54333.0000,5.0587,0.0005,31
e05200,e,insercion,relocate_first,137502.0000,137502.0000,0.0000,0.0000,0
e05200,e,insercion,relocate_best,137502.0000,137502.0000,0.0000,0.0000,0
e05200,e,insercion,swap_first,137502.0000,137318.0000,0.1338,0.0000,4
e05200,e,insercion,swap_best,137502.0000,137245.0000,0.1869,0.0001,2
